"","zip_code","id","name","is_closed","review_count","rating","price","distance","latitude","longitude","city","state","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate"
"33","31833","6KHpR408-5q4zIGTIyiydA","Korean Bbq House",FALSE,12,4.5,2,19632.6607838406,32.87779,-85.17646,"West Point","GA",0.04,0.03,0,0,0.07
"34","30240","Gmjmi6Y4-XuEXZ0Pa9Mfjw","Fox's Pizza Den",FALSE,5,3.5,1,13632.8328555997,33.024029160502,-85.0782752037048,"LaGrange","GA",0.04,0.03,0,0,0.07
"35","30240","e1nggQiwBFZf6P3DkTt3Vg","Red Rooster Buffet",FALSE,2,4,1,13525.922360624,33.0230713,-85.0796738,"Lagrange","GA",0.04,0.03,0,0,0.07
"36","30240","zRDgVHS2sjwkUCNbDxUKOg","Kountry Kitchen",FALSE,1,4,1,13696.5282318456,33.0242720388715,-85.0775134563446,"Lagrange","GA",0.04,0.03,0,0,0.07
"37","31833","lEcO1xkNAs6RZ2SexIvrEA","Johnny's New York Style Pizza",FALSE,34,4.5,2,3270.10780000948,32.8764516105107,-85.1839244515552,"West Point","GA",0.04,0.03,0,0,0.07
"38","31833","LRNmm0ZllQ1fosayvGe2eg","Pokey's 8th Street Grill",FALSE,15,4.5,1,3240.26801512935,32.8768590423215,-85.1834781303983,"West Point","GA",0.04,0.03,0,0,0.07
"39","31833","d_nS-KGqsMPzu1eZZHqCuQ","Coach's Bar & Grill",FALSE,23,4,2,3221.14129712406,32.87690602907,-85.1839562505484,"West Point","GA",0.04,0.03,0,0,0.07
"40","31833","kyYQwof6OMSb72_ZWjqRRA","Railroads",FALSE,10,4.5,1,3226.21687333234,32.876742,-85.184388,"West Point","GA",0.04,0.03,0,0,0.07
"41","31833","M8-tfV2NdJmsVFB8b14olw","Miso Sushi House",FALSE,7,4.5,2,3243.26970383569,32.876551,-85.184505,"West Point","GA",0.04,0.03,0,0,0.07
"42","31833","TT4C0_O6vaBbQ4zzOb6ajQ","Newt's Fried Chicken",FALSE,11,3,1,5151.97301298854,32.8766822814941,-85.1502914428711,"West Point","GA",0.04,0.03,0,0,0.07
"43","31833","g74isAiLfDAaNyHIQgsLKw","Rogers Pit-Cooked Bar-B-Que",FALSE,9,2,1,3442.4345632644,32.87715,-85.17738,"West Point","GA",0.04,0.03,0,0,0.07
"44","31833","-52vSUgsVr3GfZ3PPHuBig","Chick Delite",FALSE,5,3,1,3512.62362239641,32.87603,-85.17829,"West Point","GA",0.04,0.03,0,0,0.07
"45","31833","KZTyGUIe95IVNTjxfKusqA","Summit Grill",FALSE,2,1.5,1,5312.78189907401,32.8762169,-85.1476288,"West Point","GA",0.04,0.03,0,0,0.07
"46","49015","ungPmNQRVaYzB7a776JsNA","Pizza Hut",FALSE,7,2,1,9438.13017413878,42.261637,-85.191251,"Battle Creek","MI",0.06,0,0,0,0.06
"47","31901","qdBj7gFPZhAtyZK27XZeIg","11th and Bay Southern Table",FALSE,358,4.5,2,5254.43427384063,32.466508,-84.995275,"Columbus","GA",0.04,0.03,0,0.01,0.08
"48","31901","vVFldydkompD7sQqQJfZFg","Plucked Up Chicken & Biscuits",FALSE,282,4.5,1,5031.52598369556,32.4690697,-84.9916082,"Columbus","GA",0.04,0.03,0,0.01,0.08
"49","31901","BFsM7cOnpzJy-P82VCo0YQ","The Black Cow",FALSE,411,4,2,5060.79967042181,32.468938,-84.9908559,"Columbus","GA",0.04,0.03,0,0.01,0.08
"50","31901","DBuwVrRbYMRfUJIFsKA5lg","Epic Restaurant",FALSE,135,4.5,3,4982.930395583,32.46863,-84.99474,"Columbus","GA",0.04,0.03,0,0.01,0.08
"51","31909","0nCSakNp6IKeo90jZhu8JQ","Zombie Pig BBQ",FALSE,192,4.5,2,4967.41042668507,32.53392,-84.95567,"Columbus","GA",0.04,0.03,0,0.01,0.08
"52","31904","J22V4NdmhiCiWDcZxJYXjQ","La Nacional Mexican Buffet",FALSE,118,4.5,1,3453.68569767768,32.5061913,-84.9668198,"Columbus","GA",0.04,0.03,0,0.01,0.08
"53","31901","-73KW-ZU8xPGrofMtDr0Dw","Mabella",FALSE,178,4.5,3,5273.97724221868,32.4667538538286,-84.9921560083531,"Columbus","GA",0.04,0.03,0,0.01,0.08
"54","31904","ExhWWL5Qec7Po6f6_FT7Aw","Buckhead",FALSE,370,4,3,4644.77722125089,32.51346,-84.95293,"Columbus","GA",0.04,0.03,0,0.01,0.08
