"","zip_code","id","name","is_closed","review_count","rating","price","distance","latitude","longitude","city","state","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","is_focal"
"1","31833","LRNmm0ZllQ1fosayvGe2eg","Pokey's 8th Street Grill",FALSE,16,5,1,916.818749389221,32.8768590423215,-85.1834781303983,"West Point","GA",0.04,0.03,0,0,0.07,TRUE
"2","36863","SYisFR_YStODfZqkBcyIPw","Merl's Diner",FALSE,4,4.5,2,126.226386577051,32.8681524,-85.1876,"Lanett","AL",0.04,0.01,0.05,0,0.1,FALSE
"3","36863","wpBzspdFXui5DTsOJLVd6A","EL Rio Grande Mexican Restaurant",FALSE,17,3.5,2,338.279312813689,32.866441,-85.1886354,"Lanett","AL",0.04,0.01,0.05,0,0.1,FALSE
"4","36863","yrHe_ajH51wRLErr4iQ3iA","China Moon",FALSE,5,3.5,1,168.510519459696,32.870815,-85.1875221,"Lanett","AL",0.04,0.01,0.05,0,0.1,FALSE
"5","36863","Q-uCSAzGjAtbxQvaAwriEQ","El Jimador Mexican Restaurant",FALSE,8,4,1,590.947003622273,32.8657463954747,-85.1921081542969,"Lanett","AL",0.04,0.01,0.05,0,0.1,FALSE
"6","31833","6KHpR408-5q4zIGTIyiydA","Korean Bbq House",FALSE,12,4.5,2,1372.13256401958,32.87779,-85.17646,"West Point","GA",0.04,0.03,0,0,0.07,TRUE
"7","36863","SYisFR_YStODfZqkBcyIPw","Merl's Diner",FALSE,4,4.5,2,126.226386577051,32.8681524,-85.1876,"Lanett","AL",0.04,0.01,0.05,0,0.1,FALSE
"8","36863","wpBzspdFXui5DTsOJLVd6A","EL Rio Grande Mexican Restaurant",FALSE,17,3.5,2,338.279312813689,32.866441,-85.1886354,"Lanett","AL",0.04,0.01,0.05,0,0.1,FALSE
"9","36863","yrHe_ajH51wRLErr4iQ3iA","China Moon",FALSE,5,3.5,1,168.510519459696,32.870815,-85.1875221,"Lanett","AL",0.04,0.01,0.05,0,0.1,FALSE
"10","36863","Q-uCSAzGjAtbxQvaAwriEQ","El Jimador Mexican Restaurant",FALSE,8,4,1,590.947003622273,32.8657463954747,-85.1921081542969,"Lanett","AL",0.04,0.01,0.05,0,0.1,FALSE
"11","31833","d_nS-KGqsMPzu1eZZHqCuQ","Coach's Bar & Grill",FALSE,26,4,2,904.763747889135,32.87690602907,-85.1839562505484,"West Point","GA",0.04,0.03,0,0,0.07,TRUE
