"","review_count","rating","price","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","id","distance","state","longitude","latitude"
"SYisFR_YStODfZqkBcyIPw",-12.5104861561936,0.490727731397151,0.404018705074956,6.93889390390723e-18,-0.02,0.05,0,0.03,"SYisFR_YStODfZqkBcyIPw",3418.13293802778,"AL",-85.1876,32.8681524
"wpBzspdFXui5DTsOJLVd6A",0.624061953240407,-0.495323657438659,0.408660983413502,6.93889390390723e-18,-0.02,0.05,0,0.03,"wpBzspdFXui5DTsOJLVd6A",3607.34235693813,"AL",-85.1886354,32.866441
"Q-uCSAzGjAtbxQvaAwriEQ",-8.39280854117701,0.00163977045109309,-0.593314883483017,0,-0.02,0.05,0,0.03,"Q-uCSAzGjAtbxQvaAwriEQ",3657.1282219237,"AL",-85.1921081542969,32.8657463954747
"yrHe_ajH51wRLErr4iQ3iA",-11.9324673261717,-0.555630980020178,-0.613883737713206,0,-0.02,0.05,0,0.03,"yrHe_ajH51wRLErr4iQ3iA",3142.84467065364,"AL",-85.1875221,32.870815
"om1OMWeeH11WppyD5Q3fbg",-135.744460693568,0.974145529673263,-0.887962149772939,-6.93889390390723e-18,-0.02,0.045,-0.01,0.015,"om1OMWeeH11WppyD5Q3fbg",1691.74173561611,"AL",-85.0056,32.47
"Eb5wnu9mEvTtsPiKpRxAvg",-85.0050482935999,0.487792121824174,-0.879371587786121,-6.93889390390723e-18,-0.02,0.045,-0.01,0.015,"Eb5wnu9mEvTtsPiKpRxAvg",1794.8375317797,"AL",-85.007582,32.470016
"T9xOndvCipCkuBHLrcC1cw",-34.2080914011529,-0.0232851382280161,0.100884803859307,-6.93889390390723e-18,-0.02,0.045,-0.01,0.015,"T9xOndvCipCkuBHLrcC1cw",2031.86808264018,"AL",-85.0007309795078,32.4748066161936
"Ov8RwzoVF6QR8Ml2CHviOw",-120.419683535596,-0.0242556205254232,-0.90099643880975,0,-0.02,0.045,-0.01,0.015,"Ov8RwzoVF6QR8Ml2CHviOw",1750.50876190862,"AL",-85.0022086,32.471867
"nGljxS2XRVoI9v1Ar9EFXA",-61.8259559022986,0.492116127281729,-0.855915384335652,0,-0.02,0.045,-0.01,0.015,"nGljxS2XRVoI9v1Ar9EFXA",3041.79207346371,"AL",-85.0265928004593,32.4669439095705
"iI8ptFd-UPBu3YcC5C0nig",77,0,0,0,-0.015,0.04,-0.01,0.015,"iI8ptFd-UPBu3YcC5C0nig",3283.9477417149,"AL",-85.14334,31.89268
"h0qD2nwLx0VnDWd1a43prA",94,-0.5,0,0,-0.015,0.04,-0.01,0.015,"h0qD2nwLx0VnDWd1a43prA",3463.03888301404,"AL",-85.1459501,31.8933201
"kBbdO6uU27WwsE6YI4b_uQ",13,0,0,0,-0.015,0.04,-0.01,0.015,"kBbdO6uU27WwsE6YI4b_uQ",3371.75377516869,"AL",-85.1447805293016,31.8931932041982
"fGDXwluH2JHfAlRIRov74g",72,0,0,0,-0.015,0.04,-0.01,0.015,"fGDXwluH2JHfAlRIRov74g",3757.66425950287,"AL",-85.1442096,31.8865102
"FwtvGEWfquaZHabs7XVOtg",53,0.5,-1,0,-0.015,0.04,-0.01,0.015,"FwtvGEWfquaZHabs7XVOtg",3642.96953536218,"AL",-85.1453274,31.8893817
