"","zip_code","id","name","is_closed","review_count","rating","price","distance","latitude","longitude","city","state","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","is_focal"
"1878","99403","luL9QDc98Fmqhg1i46oxbA","Bamboo Gardens",FALSE,21,3.5,2,2242.64909483285,46.4124,-117.04517,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1879","99403","SHmvW0xrFn-pAR4rpPwwyA","Station 3 Family Restaurant & Lounge",FALSE,15,3.5,2,2219.18360553816,46.412099,-117.045717,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1880","99403","uoGUs1CClp__queM5V9wZg","Paraiso Vallarta",FALSE,26,4,2,3090.40756914626,46.42014,-117.04518,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1881","99403","nOicv38ea9excnvOIBACpA","Jose Tacos",FALSE,18,4.5,1,3163.74162252255,46.420084,-117.050097,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1882","99403","x_XIbvIVQBCq50Mv04IlWQ","Rookies A Sports Pub",FALSE,7,4,2,2705.27312527829,46.4167540050156,-117.044295794192,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1883","99403","OPA4WIjdSQ3isvVLFdKpGA","Thai Garden",FALSE,24,3.5,2,2742.16040409732,46.41707,-117.04491,"Clarkston","WA",0.065,0.012,0,0,0.077,FALSE
"1884","46320","63SYy58thOIYw93cBzLlgQ","18th Street Brewery",FALSE,151,4,2,2292.71535165251,41.615072,-87.517406,"Hammond","IN",0.07,0,0,0,0.07,TRUE
"1885","60409","UzMvUNrAyCFOT44IgOmXIQ","No Cobbs",FALSE,21,3.5,2,3929.63220009951,41.6194309355246,-87.5594751164317,"Calumet City","IL",0.0625,0.0175,0.01,0.01,0.1,FALSE
"1886","60409","XaqfbZbb6Ez_aNjwhmUOQA","Schoop's Hamburgers",FALSE,32,4,2,3618.07978540218,41.61588,-87.55874,"Calumet City","IL",0.0625,0.0175,0.01,0.01,0.1,FALSE
"1887","60438","Tr2P60C39FNZNJDNBjRCvA","Taqueria La Soga",FALSE,24,4.5,1,2187.90325348097,41.5449973,-87.5390251,"Lansing","IL",0.0625,0.0175,0.005,0.01,0.095,FALSE
"1888","60617","xXhaLFuPArzK67vN-cGl2g","The Barbeque Zone",FALSE,35,4,2,2978.60453456302,41.70249,-87.5433,"Chicago","IL",0.0625,0.0175,0.0125,0.01,0.1025,FALSE
"1889","60617","RMGkHDR2tuq6eirba9lJwA","Taco Mex",FALSE,34,4,2,3793.27973973599,41.701588,-87.5597349,"Chicago","IL",0.0625,0.0175,0.0125,0.01,0.1025,FALSE
"1890","60617","8vlCODC3AjvFUAsNqPuPlQ","Pucci's Restaurant & Pizzeria",FALSE,28,4,2,3692.40609815119,41.7121,-87.53493,"Chicago","IL",0.0625,0.0175,0.0125,0.01,0.1025,FALSE
