"","review_count","rating","price","StateRate","CountyRate","CityRate","SpecialRate","CombinedRate","id","distance","state","longitude","latitude"
"rS0gApyEF8vRQyTYnVHpfg",-436.696567870363,-1.0699717335919,0.0265605134908034,-0.014,0.0225,-0.005,-0.01,-0.00649999999999999,"rS0gApyEF8vRQyTYnVHpfg",151.129882816251,"NV",-119.941301943933,38.9616792343055
"nBATRJnIjFkfHsgOv5XwHQ",-628.907822883674,-0.0555225846233522,0.00224800575401329,-0.014,0.0225,-0.005,-0.01,-0.00650000000000002,"nBATRJnIjFkfHsgOv5XwHQ",1358.16280561905,"NV",-119.934647928694,38.9712234772449
"8gXaeFOak_To2t2xvtWUQw",-12.4012078149271,0.394582090541751,0.566077201541593,0.00650000000000001,0,0,0,0.00650000000000001,"8gXaeFOak_To2t2xvtWUQw",1423.09553504539,"RI",-71.830527,41.379296
"AxGW4itHJXGh8oqZVsjRug",273.386172419549,-0.624583578825106,0.545015597658084,0.00650000000000001,0,0,0,0.00650000000000001,"AxGW4itHJXGh8oqZVsjRug",1591.10961894948,"RI",-71.83143,41.37735
"pUiBFF0nycdVkR7x6GHYPQ",28.8201501290211,0.445284581200151,0.540844237453004,0.00649999999999999,0,0,0,0.00649999999999999,"pUiBFF0nycdVkR7x6GHYPQ",1345.82160205359,"RI",-71.8297038668472,41.3807508097305
"rv9xUekrM2_d_pwwWuImfw",109.685581884768,-1.08476146090324,0.551955523072115,0.00650000000000001,0,0,0,0.00650000000000001,"rv9xUekrM2_d_pwwWuImfw",1419.06875522251,"RI",-71.830005,41.379608
"2mRTVwcBuwKsXASmL4kokw",33.6220023767329,-0.58551397837086,0.55345699064209,0.00649999999999999,0,0,0,0.00649999999999999,"2mRTVwcBuwKsXASmL4kokw",1397.02275504907,"RI",-71.83035,41.37968
"4jvVK1zvT2GVW6v3evB_PQ",-38.941773653047,0.466045674931846,0.541967138708449,0.00650000000000001,0,0,0,0.00650000000000001,"4jvVK1zvT2GVW6v3evB_PQ",1134.46325209103,"RI",-71.83141,41.38202
"PYf4vXKbonyAgHwCIseDgA",12.3383113120594,-0.0912125013051037,0.547457566974894,0.00650000000000001,0,0,0,0.00650000000000001,"PYf4vXKbonyAgHwCIseDgA",1469.89713634915,"RI",-71.82962,41.37923
"K-J1GXPvYtLMZDhT97eQBg",-19.7008403285319,-0.570619008502498,0.534457134718543,0.00650000000000001,0,0,0,0.00650000000000001,"K-J1GXPvYtLMZDhT97eQBg",1446.80565192946,"RI",-71.829123,41.379771
"0dWrbjWlPDBq3WpDq_bCxQ",70.8236628025934,-0.324827772231417,0.146147839850715,0.06,0,0,0,0.06,"0dWrbjWlPDBq3WpDq_bCxQ",186.595813783778,"PA",-75.714973449707,39.7952651977539
